neutral,de,ke,te,kiero,te,kiero,pendeja,pero,rogarte,?,ha,ni,ke,estuvieras,tan,buena,;),,,,,,,,,,,,,,,,,,,,,,,,,
positive,she,'s,a,good,cuñada,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,just,woke,up,de,my,nap,w,itzayana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,kuando,me,vaya,a,la,or,mexico,ima,take,my,queen,:red_heart:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,chillin,en,el,apt,con,yazmin,y,lesly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,this,guy,made,cookies,other,one,made,tamales,other,guy,made,cookies,another,guy,made,mole,a,girl,made,fresas,i,made,ensalda,de,pollo,,,,,,,,,,,,,,,,,
neutral,@,lol,lo,ke,sobre,the,llevo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,tragando,tamales,in,class,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,bien,mexican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,and,maybe,me,llevo,a,la,nohemi,al,restaurant,ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,here,w,josue,at,the,apt,eating,tamales,sopas,chocolates,cookies,juices,and,all,that,good,shit,ha,,,,,,,,,,,,,,,,,,,,,,,,
negative,yo,oiero,ir,a,ver,a,gloria,trevi,today,:/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,cuzs,then,itzayana,me,va,a,kitar,lo,ke,me,dieron,-.-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,my,belly,hurts,comi,mucho,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,me,viera,agarrado,algo,but,i,never,thought,me,me,iba,ablar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,she,thought,the,chocolate,and,teddy,bear,eran,pa,ella,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,crush,said,she,loves,me,cuzs,me,di,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,tengo,ke,aprovechar,mis,last,mins,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,i,do,n't,really,like,sopa,de,conchas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,me,vale,madre,lo,ke,digan,tus,padres,ke,soy,pandillero,pelon,y,visto,baggie,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,my,phone,looks,ratchet,todo,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,eres,una,cualkiera,yes,u,are,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,finna,go,a,mcdonalds,con,la,nohemi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,"""",ni,kulo,me,van,a,dar,ni,una,tokadita,"""",lmfao,nohemi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,lol,just,cuzs,va,andar,de,forever,alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,nohemi,cook,for,me,summ,kesadiyas,>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,escapate,te,doy,0,mins,aki,estoy,afuera,:heart_suit:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,gonna,download,that,game,hopefully,no,me,ponga,toda,mad,cuzs,lo,borro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,the,manager,did,n't,know,the,boss,was,my,cuñada,ora,si,ya,le,bajo,a,sus,huevitos,,,,,,,,,,,,,,,,,,,,,,,,
negative,this,nigga,is,singing,mi,nina,travieza,lmfao,bien,feo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,mhm,no,wonder,why,they,used,to,call,me,changa,when,i,was,lil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,i,wish,she,would,come,back,that,women,se,olvido,de,mi,smh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,me,interesas,by,noel,torres,>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,or,mejor,i,go,to,my,brothers,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,seen,ur,ex,suegra,is,awkward,af,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,vayanse,alv,ha,i,got,all,kinds,of,color,pants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,if,u,think,i,jusy,want,u,cuzs,ur,money,heoo,no,bitch,tas,loka,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,but,i,told,jaime,ke,iba,ir,a,su,house,to,play,xbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,no,la,buskes,hija,muy,bonita,por,ke,al,paso,del,tiempo,se,le,kita,-,my,dad,lol,bien,gay,,,,,,,,,,,,,,,,,,,,,
negative,not,playing,w,females,nomore,i,judt,got,slap,por,andar,de,pendejita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,my,dad,calls,my,friends,"""",flor,",",luz,"""",and,all,that,shit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,i,brought,the,sueter,my,gma,gave,me,:heart_suit:,form,mexico,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,"""",@,:,lo,mato,and,ill,take,her,gf,lmfao,"""",lol,too,funny,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,micaela,micaela,ke,tu,tienes,alma,mia,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,i,made,tostadas,for,me,and,her,and,she,'s,makin,sadwiches,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,me,and,yazmin,were,looking,at,that,milby,page,and,we,told,nohemi,and,her,bitchass,hide,lmfao,ya,la,cache,,,,,,,,,,,,,,,,,,,,,
negative,ayyy,i,wanna,go,home,-.-,no,to,my,brother,'s,apt,ayi,me,dan,puras,wings,and,pizza,,,,,,,,,,,,,,,,,,,,,,,
positive,my,manager,is,gay,lol,so,ya,somos,amiguis,xd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,i,want,sus,eyes,they,idk,badass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,my,manager,is,so,cool,el,chimuelo,no,el,de,los,cute,eyes,si,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,kuzs,he,'s,always,passin,me,churros,and,all,that,good,shit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,nomas,kuzs,mis,tattoos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,my,manager,'s,name,is,gabby,and,i,show,her,my,tattoo,she,was,all,like,"""",awww,i,feel,special,u,got,my,name,tatted,up,"""",ha,se,emociono,lol,,,,,,,,,,
negative,damm,me,duele,mi,cabezota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,nohemi,was,all,panikiada,and,shit,too,cuzs,she,thought,it,was,her,sis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,pero,chill,a,nigga,still,single,i,already,explain,to,her,watt,i,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,lmao,la,mom,de,yazmin,me,dijo,ke,me,oigo,bien,mamona,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,i,gotta,do,ensalada,de,pollo,for,my,english,class,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,my,dad,la,puso,a,mi,nombre,since,i,was,lil,:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,the,fact,that,my,cuñada,is,the,boss,>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,my,fam,siempre,me,echan,carriya,cuzs,of,the,tattoo,its,funny,tho,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,we,all,here,waiting,pa,ke,juege,mex,:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,lmao,my,dad,told,me,to,get,"""",soy,una,estupida,"""",tatted,up,on,my,forehead,for,getting,my,ex,name,tatted,up,smh,it,was,funny,cuz,my,friends,here,,,,,,,,,,
positive,finally,ya,i,'m,calm,after,everything,that,happened,today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,0,more,mins,pa,ke,ya,me,vaya,alv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,finna,eat,summ,hot,fries,w,chamoy,later,on,:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,at,least,ami,no,me,mandaron,tanto,a,la,chingada,como,a,nohemi,lmao,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,y,aya,nos,casamos,y,te,presento,a,mi,abuela,she,knows,how,to,cook,so,u,do,n't,gotta,worry,about,cooking,for,me,lol,,,,,,,,,,,,,,,,
positive,y,si,no,kieres,te,robo,y,te,vas,conmigo,a,mexico,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,nomas,te,kieres,creer,bien,important,npw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,you,know,i,miss,u,so,why,i,gotta,text,u,i,miss,u,if,u,already,know,tampoko,te,emociomes,lol,,,,,,,,,,,,,,,,,,,,
neutral,i,do,n't,accept,both,of,yalls,dare,no,no,no,el,coco,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,se,kemo,pokito,but,fuck,it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,i,always,go,to,sleep,w,a,t-shirt,del,same,color,de,mis,boxers,that,'s,just,me,,,,,,,,,,,,,,,,,,,,,,,,
neutral,me,and,nohemi,are,waiting,for,everyone,to,go,to,sleep,so,we,can,male,summ,arroz,con,leche,lol,,,,,,,,,,,,,,,,,,,,,,
positive,a,mi,me,decian,quintina,kuando,era,chikita,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,@,ha,pos,have,fun,its,pretty,te,subes,al,horse,its,cute,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,"""",@,:,i,have,never,been,to,kemah,tbh,.,"""",lol,ta,bien,caro,-.-,se,me,fue,todo,cheke,,,,,,,,,,,,,,,,,,,,
negative,then,en,un,game,oomf,me,aplasto,-.-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,we,got,on,the,horse,w,summ,teddy,bears,and,un,alien,parecia,ke,llevavamos,toda,la,fam,lol,,,,,,,,,,,,,,,,,,,,,,,
neutral,what,about,me,and,u,go,to,kemah,again,y,nos,subimos,al,caballo,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,itzayana,is,my,niña,travieza,:heart_suit:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,@,lol,nomas,pokito,ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,bien,buenota,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,ah,!!,y,si,estoy,ardido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,i,'m,letting,my,eyebrows,grow,cuzs,pinche,vieja,pendeja,fucked,them,up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,summ,people,do,n't,like,spm,but,fuck,their,opinion,ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,pero,komo,dicen,hoes,always,gonna,be,hoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,asi,ke,ven,y,dime,kuanto,me,amas,asi,ke,ven,y,dime,kuanto,me,extrañas,por,tu,amor,yo,bajaria,asta,so,infinito,.....,,,,,,,,,,,,,,,,,
positive,made,a,mexican,hamburger,(,tortilla,",",keso,",",jamon,",",and,mayonesa,),;),,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,eliseo,calls,me,"""",primate,"""",lol,funny,or,"""",mono,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,idc,if,u,do,n't,like,tekila,i,do,so,u,and,ur,opinion,can,gtfo,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,the,reason,why,i,'m,single,0-,cuzs,me,mandaron,a,la,chingada,lol,0-,cuzs,i,'m,trying,to,save,money,(,girls,are,expensive,),,,,,,,,,,,,,,,
neutral,ni,me,akordaba,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,tomorrow,i,gotta,work,and,todavia,ando,en,el,pedo,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,waiting,on,my,cuñada,so,she,can,pick,me,up,to,go,to,work,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,(,el,ruido,de,tus,zapatos,),baby,that,'s,still,your,song,;),,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,i,was,gonna,get,drunk,tonight,pero,then,me,dijieron,i,had,to,work,lol,fml,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,ya,lo,se,ke,aunke,tu,no,me,kieras,yo,siempre,te,rekordare,mirame,dime,ke,aunke,te,pida,te,llore,de,ruege,y,te,implore,no,vas,a,volver,,,,,,,,,,,,
neutral,well,aver,ke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,she,'s,was,all,emocionada,and,shit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,lol,ya,ni,yo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,i,was,gonna,go,a,vee,a,gerardo,ortiz,but,mayne,its,to,fuckin,cold,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,when,i,wake,up,my,hairs,looks,como,ke,lo,lambio,la,vaca,-.-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,se,pasaron,de,verga,con,este,cold,rt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,this,teacher,tellin,us,we,gotta,get,amrry,before,aflojar,la,tortilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,hopefully,vaya,:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,toda,mongola,and,shit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,and,when,i,see,u,siento,mariposas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,my,dad,got,summ,tamales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,alguien,se,comio,mi,torta,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,la,mom,de,eliseo,said,ke,tengo,la,cabeza,de,teletuvi,smh,-.-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,this,girls,sneak,out,and,are,like,"""",no,mames,denle,lmao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,y,de,pasada,las,eyebrows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,why,?,cuzs,u,ai,n't,shit,ni,mi,dad,me,dice,ke,aser,menos,tu,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,@,lmao,luego,buelo,bien,gacho,y,no,pulleo,hoes,;),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,i,was,born,on,beans,and,rice,oh,and,sandwich,y,huevo,(,danny,),lol,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,ke,al,diablo,con,los,gaupos,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,but,the,her,mom,told,us,to,stop,cuzs,nos,ivan,a,cachar,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,i,remember,when,me,and,oomf,used,to,get,out,during,lunch,pa,komprar,gorditas,lol,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,i,did,n't,went,to,0,and,ya,se,me,iso,tarde,to,go,to,0,mmmm,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,i,mias,chavez,rt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,0$,por,un,vip,lap,dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,@,yess,es,mi,primer,dia,en,la,milby,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,el,guy,ke,esta,atras,de,mi,ta,heart,broken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,i,need,otros,0,months,and,then,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,kuzs,i,mean,nomas,tengo,like,0,month,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,i,have,the,chance,to,go,out,w,her,pero,i,know,i,'m,just,gonna,hurt,her,,,,,,,,,,,,,,,,,,,,,,,,
negative,@,i,can,n't,lmao,me,mandaromandarins,bien,bonito,alv,ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,in,class,toda,sleepy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,that,'s,why,i,'m,going,w,her,pa,ke,me,de,una,advil,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,0,.,ke,they,accept,me,en,la,milby,0.ke,medieron,una,shot,and,me,andaba,muriendo,&,0.ke,me,acabo,de,caer,del,techo,lol,,,,,,,,,,,,,,,,
neutral,ima,go,w,gma,rn,a,contarle,el,chisme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,pero,ahh,idc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,me,pase,de,verga,lol,pero,i,was,just,trying,to,be,funny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,finally,se,kedo,viendo,la,novela,and,no,anda,de,metiche,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,cuzs,se,lo,va,a,chingar,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,i,hope,itzayana,nunka,tenga,bf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,pero,nadie,la,conoce,mas,ke,yo,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,nomas,la,cara,la,tiene,de,niña,buena,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,for,now,on,u,do,n't,count,y,voy,aserle,komo,nunka,te,conoci,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,de,tekila,si,pero,de,los,otros,no,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,ya,no,kiero,ke,me,den,shots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,today,me,dieron,una,pinche,shot,y,me,rompieron,mi,corazonsito,npw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,@,pura,yolo,life,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,@,ah,empezar,el,monday,bien,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,or,can,yall,just,stfu,and,dejar,de,inventar,chismes,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,can,yall,like,plis,help,me,find,her,cuzs,ni,la,konosko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,everytime,ke,me,awito,i,got,a,bottle,of,tekila,me,echo,un,tragiyo,pa,calmarme,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,my,fam,me,manda,alv,cada,rato,then,they,wonder,why,i,'m,like,this,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,finna,take,a,shower,and,go,pa,ya,meterme,a,la,skool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,yazmin,es,mi,consejera,and,she,tells,me,wutt,to,reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,nomas,me,falto,comprarle,unos,hot,chetos,and,juice,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,jk,jk,yo,mo,miro,eso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,y,no,invitan,smh,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,aver,si,cae,un,party,tonight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,se,cree,muy,sexy,con,su,cookie,monster,bra,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,yazmin,anda,de,cochina,kitandose,el,brasiel,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,ima,try,to,stay,single,por,un,year,aver,si,puedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,lol,jk,no,te,espantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,well,not,now,lol,maybe,en,unos,0,months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,pero,do,n't,worry,i,ai,n't,gonna,try,to,get,her,back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,este,guy,maneja,bien,feo,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,a,dar,la,vuelta,kon,los,hommies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,well,we,stop,to,buy,hot,chetos,con,sal,y,limon,:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,ok,ya,:),now,time,to,go,buy,summ,raspas,kon,la,noemi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,conke,me,de,el,money,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,lol,noemi,me,reta,and,yo,le,ago,caso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,el,room,huele,a,weed,idk,why,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,damm,ya,me,dio,calentura,smh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,pero,i,'m,not,gonna,say,shit,people,do,n't,gotta,know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,no,se,puede,poner,songs,o,ke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,like,ni,kien,te,ablando,de,ellas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
